Umsätze;;;;;;;;;;;;;;;;;
Konto;Filial-/Kontonummer;IBAN;Währung;;;;;;;;;;;;;;
BestKonto;110 1234567 66;DE01234567890123456789;EUR;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
9.11.2025 - 8.2.2026;;;;;;;;;;;;;;;;;
Letzter Kontostand;;;;5.404,78;EUR;;;;;;;;;;;;
Vorgemerkte und noch nicht gebuchte Umsätze sind nicht Bestandteil dieser Übersicht.;;;;;;;;;;;;;;;;;
Buchungstag;Wert;Umsatzart;Begünstigter / Auftraggeber;Verwendungszweck;IBAN / Kontonummer;BIC;Kundenreferenz;Mandatsreferenz;Gläubiger ID;Fremde Gebühren;Betrag;Abweichender Empfänger;Anzahl der Aufträge;Anzahl der Schecks;Soll;Haben;Währung
05.02.2026;05.02.2026;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-35,5;;;;-35,5;;EUR
04.02.2026;04.02.2026;Bargeldeinzahlung;;Einzahlung 27.08.2025 11:01;;;;;;;300,0;;;;;300,0;EUR
03.02.2026;03.02.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-37,85;;;;-37,85;;EUR
30.01.2026;30.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Netflix.com, Ihr Einkauf bei Netflix.com;LU00FAKE0000123456X9;;;;;;-13,99;;;;-13,99;;EUR
27.01.2026;27.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google, Ihr Einkauf bei Google;LU00FAKE0000123456X9;;;;;;-12,99;;;;-12,99;;EUR
27.01.2026;27.01.2026;SEPA Lastschrift;Vodafone GmbH;Vodafone Rechnung  Vodafone sagt Danke;DE44500105175407324932;;;;;;-35,99;;;;-35,99;;EUR
26.01.2026;26.01.2026;Kartenzahlung;REWE Oleg Scheifler oHG;REWE SAGT DANKE.Beckhausst/Bielefeld ;DE44500105175407324934;;;;;;-4,87;;;;-4,87;;EUR
23.01.2026;23.01.2026;SEPA Lastschrift;CARE Deutschland e.V.;VIELEN DANK FUER DIE SPENDE AN CARE DEUTSCHLAND E.V.;DE44500105175407324935;;;;;;-20,0;;;;-20,0;;EUR
23.01.2026;23.01.2026;SEPA Lastschrift;Rundfunk ARD, ZDF, DRadio;Rundfunk Aenderungen ganz bequem: www.rundfunkbeitrag.de;DE44500105175407324939;;;;;;-55,08;Westdeutscher Rundfunk Koln Anstalt des offentlichen R;;;-55,08;;EUR
23.01.2026;23.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-20,99;;;;-20,99;;EUR
22.01.2026;22.01.2026;Bargeldeinzahlung;;Einzahlung vom 14.08.2025;;;;;;;300,0;;;;;300,0;EUR
22.01.2026;22.01.2026;SEPA Lastschrift;Vodafone GmbH;Vodafone sagt Danke;DE44500105175407324932;;;;;;-43,98;;;;-43,98;;EUR
22.01.2026;22.01.2026;SEPA Lastschrift;Telefonica Germany GmbH + Co. OHG;Ihre Tarifrechnung;DE44500105175407324938;;;;;;-34,98;;;;-34,98;;EUR
21.01.2026;21.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
19.01.2026;19.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google Payment Ireland Ltd., Ihr Einkauf bei Google Payment Ireland Ltd.;LU00FAKE0000123456X9;;;;;;-2,99;;;;-2,99;;EUR
13.01.2026;13.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-5,03;;;;-5,03;;EUR
09.01.2026;09.01.2026;SEPA Lastschrift;VATTENFALL EUROPE SALES;Strom Abschlag;DE44500105175407324933;;;;;;-114,0;;;;-114,0;;EUR
09.01.2026;09.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
07.01.2026;07.01.2026;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Thalia Bucher GmbH, Ihr Einkauf bei Thalia Bucher GmbH;LU00FAKE0000123456X9;;;;;;-24,95;;;;-24,95;;EUR
30.12.2025;30.12.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;Netflix.com, Ihr Einkauf bei Netflix.com;LU00FAKE0000123456X9;;;;;;-13,99;;;;-13,99;;EUR
30.12.2025;30.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-26,99;;;;-26,99;;EUR
30.12.2025;30.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-41,8;;;;-41,8;;EUR
29.12.2025;29.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google, Ihr Einkauf bei Google;LU00FAKE0000123456X9;;;;;;-12,99;;;;-12,99;;EUR
25.12.2025;25.12.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone Rechnung Vodafone sagt Danke;DE44500105175407324932;;;;;;-35,99;;;;-35,99;;EUR
24.12.2025;24.12.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone sagt Danke;DE44500105175407324932;;;;;;-43,98;;;;-43,98;;EUR
23.12.2025;23.12.2025;SEPA Lastschrift;Telefonica Germany GmbH + Co. OHG;Ihre Tarifrechnung;DE44500105175407324938;;;;;;-34,98;;;;-34,98;;EUR
23.12.2025;23.12.2025;SEPA Lastschrift;CARE Deutschland e.V.;VIELEN DANK FUER DIE SPENDE AN CARE DEUTSCHLAND E.V.;DE44500105175407324935;;;;;;-20,0;;;;-20,0;;EUR
23.12.2025;23.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
22.12.2025;22.12.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-42,45;;;;-42,45;;EUR
18.12.2025;18.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A; eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel-;LU00FAKE0000123456X9;;;;;;-24,9;;;;-24,9;;EUR
17.12.2025;17.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google Payment Ireland Ltd., Ihr Einkauf bei Google Payment Ireland Ltd.;LU00FAKE0000123456X9;;;;;;-2,99;;;;-2,99;;EUR
15.12.2025;15.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Koffie henk, Ihr Einkauf bei Koffie henk;LU00FAKE0000123456X9;;;;;;-76,64;;;;-76,64;;EUR
10.12.2025;10.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
09.12.2025;09.12.2025;SEPA Lastschrift;VATTENFALL EUROPE SALES;Strom Abschlag;DE44500105175407324933;;;;;;-114,0;;;;-114,0;;EUR
05.12.2025;05.12.2025;Kartenzahlung;go asia sagt danke;go asia sagt danke//BIELEFELD/DE 26-06-2025T13:52:07 ;DE44500105175407324940;;;;;;-12,98;;;;-12,98;;EUR
03.12.2025;03.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-5,03;;;;-5,03;;EUR
03.12.2025;03.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Thalia Bucher GmbH, Ihr Einkauf bei Thalia Bucher GmbH;LU00FAKE0000123456X9;;;;;;-17,74;;;;-17,74;;EUR
02.12.2025;02.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-39,99;;;;-39,99;;EUR
02.12.2025;02.12.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Netflix.com, Ihr Einkauf bei Netflix.com;LU00FAKE0000123456X9;;;;;;-13,99;;;;-13,99;;EUR
28.11.2025;28.11.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone Rechnung Vodafone sagt Danke;DE44500105175407324932;;;;;;-35,99;;;;-35,99;;EUR
27.11.2025;27.11.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google, Ihr Einkauf bei Google;LU00FAKE0000123456X9;;;;;;-12,99;;;;-12,99;;EUR
25.11.2025;25.11.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone sagt Danke;DE44500105175407324932;;;;;;-43,98;;;;-43,98;;EUR
24.11.2025;24.11.2025;SEPA Lastschrift;CARE Deutschland e.V.;VIELEN DANK FUER DIE SPENDE AN CARE DEUTSCHLAND E.V.;DE44500105175407324935;;;;;;-20,0;;;;-20,0;;EUR
24.11.2025;24.11.2025;SEPA Lastschrift;Telefonica Germany GmbH + Co. OHG;Ihre Tarifrechnung;DE44500105175407324938;;;;;;-34,98;;;;-34,98;;EUR
24.11.2025;24.11.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
21.11.2025;21.11.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-43,7;;;;-43,7;;EUR
19.11.2025;19.11.2025;SEPA Überweisung;Studentenwerk Osnabruck;Rueckueberweisung CampusCard Kartennummer 12345678987654;DE44500105175407324937;;;;;;1,47;;;;;1,47;EUR
19.11.2025;19.11.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-29,99;;;;-29,99;;EUR
18.11.2025;18.11.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google Payment Ireland Ltd., Ihr Einkauf bei Google Payment Ireland Ltd.;LU00FAKE0000123456X9;;;;;;-2,99;;;;-2,99;;EUR
11.11.2025;11.11.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
10.11.2025;10.11.2025;Kartenzahlung;ROSSMANN;ROSSMANN//Bielefeld/DE 30-05-2025T15:58:48;DE44500105175407324936;;;;;;-2,28;;;;-2,28;;EUR
10.11.2025;10.11.2025;SEPA Lastschrift;VATTENFALL EUROPE SALES;Strom Abschlag;DE44500105175407324933;;;;;;-114,0;;;;-114,0;;EUR
;08.02.2026;;;4.500,79;EUR;;;;;;;;;;;;
