Buchungstag;Wert;Umsatzart;Begünstigter / Auftraggeber;Verwendungszweck;IBAN / Kontonummer;BIC;Kundenreferenz;Mandatsreferenz;Gläubiger ID;Fremde Gebühren;Betrag;Abweichender Empfänger;Anzahl der Aufträge;Anzahl der Schecks;Soll;Haben;Währung
28.08.2025;28.08.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-35,5;;;;-35,5;;EUR
27.08.2025;27.08.2025;Bargeldeinzahlung;;Einzahlung 27.08.2025 11:01;;;;;;;300;;;;;300;EUR
26.08.2025;26.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-37,85;;;;-37,85;;EUR
22.08.2025;22.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Netflix.com, Ihr Einkauf bei Netflix.com;LU00FAKE0000123456X9;;;;;;-13,99;;;;-13,99;;EUR
19.08.2025;19.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google, Ihr Einkauf bei Google;LU00FAKE0000123456X9;;;;;;-12,99;;;;-12,99;;EUR
19.08.2025;19.08.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone Rechnung  Vodafone sagt Danke;DE44500105175407324932;;;;;;-35,99;;;;-35,99;;EUR
18.08.2025;18.08.2025;Kartenzahlung;REWE Oleg Scheifler oHG;REWE SAGT DANKE.Beckhausst/Bielefeld ;DE44500105175407324934;;;;;;-4,87;;;;-4,87;;EUR
15.08.2025;15.08.2025;SEPA Lastschrift;CARE Deutschland e.V.;VIELEN DANK FUER DIE SPENDE AN CARE DEUTSCHLAND E.V.;DE44500105175407324935;;;;;;-20;;;;-20;;EUR
15.08.2025;15.08.2025;SEPA Lastschrift;Rundfunk ARD, ZDF, DRadio;Rundfunk Aenderungen ganz bequem: www.rundfunkbeitrag.de;DE44500105175407324939;;;;;;-55,08;Westdeutscher Rundfunk Koln Anstalt des offentlichen R;;;-55,08;;EUR
15.08.2025;15.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-20,99;;;;-20,99;;EUR
14.08.2025;14.08.2025;Bargeldeinzahlung;;Einzahlung vom 14.08.2025;;;;;;;300;;;;;300;EUR
14.08.2025;14.08.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone sagt Danke;DE44500105175407324932;;;;;;-43,98;;;;-43,98;;EUR
14.08.2025;14.08.2025;SEPA Lastschrift;Telefonica Germany GmbH + Co. OHG;Ihre Tarifrechnung;DE44500105175407324938;;;;;;-34,98;;;;-34,98;;EUR
13.08.2025;13.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
11.08.2025;11.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google Payment Ireland Ltd., Ihr Einkauf bei Google Payment Ireland Ltd.;LU00FAKE0000123456X9;;;;;;-2,99;;;;-2,99;;EUR
05.08.2025;05.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-5,03;;;;-5,03;;EUR
01.08.2025;01.08.2025;SEPA Lastschrift;VATTENFALL EUROPE SALES;Strom Abschlag;DE44500105175407324933;;;;;;-114;;;;-114;;EUR
01.08.2025;01.08.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
30.07.2025;30.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Thalia Bucher GmbH, Ihr Einkauf bei Thalia Bucher GmbH;LU00FAKE0000123456X9;;;;;;-24,95;;;;-24,95;;EUR
22.07.2025;22.07.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;Netflix.com, Ihr Einkauf bei Netflix.com;LU00FAKE0000123456X9;;;;;;-13,99;;;;-13,99;;EUR
22.07.2025;22.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;www.steampowered.com, Ihr Einkauf bei www.steampowered.com;LU00FAKE0000123456X9;;;;;;-26,99;;;;-26,99;;EUR
22.07.2025;22.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-41,8;;;;-41,8;;EUR
21.07.2025;21.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google, Ihr Einkauf bei Google;LU00FAKE0000123456X9;;;;;;-12,99;;;;-12,99;;EUR
17.07.2025;17.07.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone Rechnung Vodafone sagt Danke;DE44500105175407324932;;;;;;-35,99;;;;-35,99;;EUR
16.07.2025;16.07.2025;SEPA Lastschrift;Vodafone GmbH;Vodafone sagt Danke;DE44500105175407324932;;;;;;-43,98;;;;-43,98;;EUR
15.07.2025;15.07.2025;SEPA Lastschrift;Telefonica Germany GmbH + Co. OHG;Ihre Tarifrechnung;DE44500105175407324938;;;;;;-34,98;;;;-34,98;;EUR
15.07.2025;15.07.2025;SEPA Lastschrift;CARE Deutschland e.V.;VIELEN DANK FUER DIE SPENDE AN CARE DEUTSCHLAND E.V.;DE44500105175407324935;;;;;;-20;;;;-20;;EUR
15.07.2025;15.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;CCP Games UK, Ihr Einkauf bei CCP Games UK;LU00FAKE0000123456X9;;;;;;-19,99;;;;-19,99;;EUR
14.07.2025;14.07.2025;SEPA Lastschrift;PayPal (Europe) S.a r.l. et Cie, S. C.A.;DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH;DE44500105175407324931;;;;;;-42,45;;;;-42,45;;EUR
10.07.2025;10.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A; eBay S.a r.l., Ihr Einkauf bei eBay S.a r.l., Artikel-;LU00FAKE0000123456X9;;;;;;-24,9;;;;-24,9;;EUR
09.07.2025;09.07.2025;SEPA Lastschrift;PayPal Europe S.a.r.l. et Cie S.C.A;Google Payment Ireland Ltd., Ihr Einkauf bei Google Payment Ireland Ltd.;LU00FAKE0000123456X9;;;;;;-2,99;;;;-2,99;;EUR
